page	experiment	seed	source	description
22	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0p5/scale_unit_rms/loss_v/H512/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
23	v4		prediction_target_toy_v4_main/seed20260807/D512/curv0p5/scale_unit_rms/loss_v/H64/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
24	v4		prediction_target_toy_v4_multiregime_screen/aggregate/swd_manifold_tradeoff.png	v4 汇总：生成 SWD 与流形偏离之间的权衡。
25	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260817/curved_capacity/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
26	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260817/curved_capacity/seed20260817/D512/curv0p5/scale_unit_rms/loss_v/H1024/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
27	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260817/curved_capacity/seed20260817/D512/curv0p5/scale_unit_rms/loss_v/H128/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
28	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260817/mid_linear/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
29	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260817/mid_linear/seed20260817/D16/curv0/scale_constant_norm/loss_v/H256/generation_scatter.png	v4 单配置：参考分布、各预测目标及外推结果的端点散点图。
30	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260818/curved_capacity/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
31	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260818/mid_linear/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
32	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260819/curved_capacity/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
33	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260819/mid_linear/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
34	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260820/curved_capacity/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
35	v4		prediction_target_toy_v4_multiregime_screen/run_seed20260820/mid_linear/extrapolation_phase_diagram.png	v4 汇总：不同预测目标外推条件的相图。
36	v10_full_mechanism	20260807	local-run/worker_seed20260807/seed20260807/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=1	baseline：参考分布与 eps、v、x 三种预测目标的端点分布。
37	v10_full_mechanism	20260807	local-run/worker_seed20260807/seed20260807/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=2	x-eps 路径：从 eps 到 x 以及越过 x 的原始外推结果。
38	v10_full_mechanism	20260807	local-run/worker_seed20260807/seed20260807/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=3	x-v 路径：从 v 到 x 以及越过 x 的原始外推结果。
39	v10_full_mechanism	20260807	local-run/worker_seed20260807/seed20260807/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=4	v4 回归：固定绝对 RMS 动作强度的正负方向对照。
40	v10_full_mechanism	20260807	local-run/worker_seed20260807/seed20260807/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=5	分布分解：沿螺旋覆盖率与有符号 ridge 法向分布。
41	v10_full_mechanism	20260807	local-run/worker_seed20260807/seed20260807/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=6	配对位移：同一初始噪声下从 x 端点到外推端点的位移场。
42	v10_full_mechanism	20260807	local-run/worker_seed20260807/seed20260807/D512/curv1/H1024/precision_coverage_v10.png	完整 187 条件的 coverage W1 与 conditional ridge W1 对照图。
43	v10_full_mechanism	20260808	local-run/worker_seed20260808/seed20260808/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=1	baseline：参考分布与 eps、v、x 三种预测目标的端点分布。
44	v10_full_mechanism	20260808	local-run/worker_seed20260808/seed20260808/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=2	x-eps 路径：从 eps 到 x 以及越过 x 的原始外推结果。
45	v10_full_mechanism	20260808	local-run/worker_seed20260808/seed20260808/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=3	x-v 路径：从 v 到 x 以及越过 x 的原始外推结果。
46	v10_full_mechanism	20260808	local-run/worker_seed20260808/seed20260808/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=4	v4 回归：固定绝对 RMS 动作强度的正负方向对照。
47	v10_full_mechanism	20260808	local-run/worker_seed20260808/seed20260808/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=5	分布分解：沿螺旋覆盖率与有符号 ridge 法向分布。
48	v10_full_mechanism	20260808	local-run/worker_seed20260808/seed20260808/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=6	配对位移：同一初始噪声下从 x 端点到外推端点的位移场。
49	v10_full_mechanism	20260808	local-run/worker_seed20260808/seed20260808/D512/curv1/H1024/precision_coverage_v10.png	完整 187 条件的 coverage W1 与 conditional ridge W1 对照图。
50	v10_full_mechanism	20260809	local-run/worker_seed20260809/seed20260809/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=1	baseline：参考分布与 eps、v、x 三种预测目标的端点分布。
51	v10_full_mechanism	20260809	local-run/worker_seed20260809/seed20260809/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=2	x-eps 路径：从 eps 到 x 以及越过 x 的原始外推结果。
52	v10_full_mechanism	20260809	local-run/worker_seed20260809/seed20260809/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=3	x-v 路径：从 v 到 x 以及越过 x 的原始外推结果。
53	v10_full_mechanism	20260809	local-run/worker_seed20260809/seed20260809/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=4	v4 回归：固定绝对 RMS 动作强度的正负方向对照。
54	v10_full_mechanism	20260809	local-run/worker_seed20260809/seed20260809/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=5	分布分解：沿螺旋覆盖率与有符号 ridge 法向分布。
55	v10_full_mechanism	20260809	local-run/worker_seed20260809/seed20260809/D512/curv1/H1024/visual_paradox_atlas_v10.pdf#page=6	配对位移：同一初始噪声下从 x 端点到外推端点的位移场。
56	v10_full_mechanism	20260809	local-run/worker_seed20260809/seed20260809/D512/curv1/H1024/precision_coverage_v10.png	完整 187 条件的 coverage W1 与 conditional ridge W1 对照图。
