output_index,source_index,selection_rank,uncertainty_block,selection_key_sha256,prompt
44,241,914,3,2e72f73380e191f57b5510fc8eadc50df83155812d4797246abcc146c7bca33e,Person holding on to a video game remote while using a computer mouse with other hand
45,248,749,2,2721aaa50f149f3da3d64b013725108d1362729f982fcddf672382c692ca7f08,A black stuffed animal sitting on top of a toilet in a bathroom stall with blue floor tile.
46,252,333,1,11a19e162609e275b6fa29f54318ed1fa91a22131bdfe304172f6086aa99ea59,White toilet in a small tiled room rainbows on toilet
47,253,16,0,00eb44e40fd7d01796500f966624e4c02deca893c68cc44e60d59922cfbe48e4,A bathroom with ski equipment laid out on the floor.
48,256,322,1,1110c8b4c2781f1e68228b8d51deacaf4650fbdf1fd137540610d7d0ad5418f9,A dog sitting between its masters feet on a footstool watching tv
49,266,253,1,0cf9cab22b6a3ec97e5749875eb952a24d2399cb5a99efc7037601d9b2608fd0,People stand near the curb behind a lime green double-decked bus.
50,269,958,3,313599e3ea086dfcb9ef86ca1b9084ce5db748ce0f490fc00e45a189a435812f,the seven sheep are preparing to be sheered.
51,273,503,2,1ad351c3d6447e52d3be3a570dcdd812b054612c04c6090b11d8b0696c81f371,A red stop sign with a green street sign posted above it.
52,274,692,2,2400b68af5c439f9d5f5a3ba7d91358813413ba73cc49e65bd0152fd813408f2,A blue bird sitting on top of a bowl of seed.
53,277,800,3,295bab76bf6d9e729359fc88c06040f734458e27157aae8de35f39013269fa20,a giraffe behind a fence eating grass from a feeder
54,283,166,0,089b8d09fff269db3b89170825b94ccb11f0191f1bfee992b5c7376ad90390f6,The business and street signs are clearly visible.
55,287,936,3,2f9a4c6e70285d91dccb3e01ce5457a231abeb024c5c101b17f866a81f5bf00f,A parking meter with a sidewalk and fence in the background.
56,293,348,1,123a19a9c6cdbab048d478cd32f1bbd0eb5ff8e2271fd6402e7c4bf523b86913,The moon shining down on a harbor full of ships.
57,296,654,2,21a9b66baa68badb9f44bb82ab18bca46f67d30813f42b1bee9f527a9fde3cc1,a woman with a tattoo is sitting on the train tracks
58,299,507,2,1af341b86575c54e6519c18be9a6aab3ca2a9136dc7e91196eca02c0d4a7b55c,A kid standing with a small suitcase on a street.
59,302,225,0,0b45511819adf84a21ad26f184b31aad8cca48f3aa163edfc54a27190fcbd10e,A dog in the grass catching a frisbee.
60,303,840,3,2b0a779dc3fc10505595b2d7bc601e9842a55e3a5f2f393cac6c32fb4c7fc755,a dog laying next to some colorful blankets on a white bed
61,316,678,2,230c4310f3ca5e8b48f9d848e269d7e3d5ed542aac4e614acff0371023520f92,a table with a large cake and small plates of cake
62,323,932,3,2f79ff7c80f6b4b02911f9a7d02ffed767774189a16fd22060dc355df3754093,a person jumping a snow board in the air
63,326,782,3,28bde1051bf928de4ea687fdaa5d2ca3fa157837c9bdb99447646a7a280b04e4,A doughnut hanging from a Christmas tree as a decoration.
64,330,921,3,2ede6d55f4dbf31a0b9fef5b8bbb9ab6b61ed30b11608d99d8c486c9d0fe904b,A women who is taking a picture of her food.
65,348,229,0,0b8545d5427d30e7a772957d7dabcfa9c57fe724986d45a18e983c61f426d983,Girl trying out a game at a trade show.
66,360,350,1,1250e85ce8eb17a12177f3fff25ca4d59af37ebf1497c206baec4e13cd757544,There is a tower clock that is in the middle of the city
67,363,952,3,30fb8c8ff7c347012804883226e94df3d2c6129971387854cbdbd02953b98b94,A person holding a cell phone showing a text.
68,368,765,3,2804bee2774d5c11e0295ca0f4e5a81c4023c3110bd8e510c0c310dc76510042,A tall tower with a clock stands in front of a skyscraper.
69,379,815,3,2a200dbd1ec16e5a57e95e6f3672212ca0cbc456491dfa7da5407c12850ce2eb,A sink with toiletry items setting on the edge.
70,385,239,0,0c1b3ceabcfa7c302ab6825bc520425391dbe93d05dbc461f479707d851b4c53,Small automobile parked on the side of a beach area.
71,395,104,0,0572bcb1d1accc7311e85fe757c5dc0ad6abc71375e704d09863e846d915ebd8,A large giraffe looks at a smaller giraffe looking over a fence.
72,403,203,0,0a3aefdd856fc1ca2aed495d6bf8732d8c56f712ab885616a22bca42d4edbffa,A green street sign handing from a black pole with a building in the background
73,408,536,2,1c34726c408ab045b6e8b1920bd009155274629cab2f1d4e854a5dcb057321a9,a coin meter that has paint all over it
74,410,59,0,03366842984005b37d4950d1d9171f020b9a293e325006074f4ac60cbfbb6957,Many cows are being housed in milking stations.
75,411,886,3,2cfb370e89c67a0d320ce741677e1a3835142bc3e9c9a799f1c1f43ec462e2bc,A cat sitting in front of a monitor that is displaying a picture of another cat.
76,417,689,2,23bf9152b054a613985b7ec4c5b8b6be06b159e807a4819751d65444ba787fd1,"The antique card shows the ship in the bay,"
77,423,117,0,0632edc9fdcc79a2e8ae50a1fac351984e1f6772e1ef0df8a4fa70467f874683,A zebra out and about eating some grass
78,434,965,3,319b720a47f7d64802fd8abf63ee61fda235bafcf8de3b848cbc7037e2c7e58c,"Hot dog on a roll with cheese, onions, and herbs."
79,435,698,2,245c62e5c86ce838a6a10042b8616e28595530461d5f2b4b94619836982e0326,A person feeding a animal a whole carrot.
80,439,263,1,0d8e2df2d2d0d8d4203c01a9a3ac8c85eddf80f5ea72991eb2eeca3069ca822e,A man is holding a long racquet on a surfboard in the middle of the sea.
81,445,69,0,03eb35fb64a2dabe3d18103c683bdb05dd666d631c12068d6c2689d6301066d4,a man glares as other people behind him look on
82,449,50,0,029de95b6ce028107bf84a77d4542699acb71c862677584c11fa90659ed57b7e,A tooth brush sits next to a toy.
83,451,671,2,22cd91f1641f3d6528f571da0b000ae05a7cbcfbe4932d0d12e71ece19509293,A young man playing with video game controllers.
84,452,523,2,1bc4951691a82847ae141ba96b3c021a24e8ab9e61bb014ca109c0c4333dc8ec,A man and woman sitting on a couch playing a video game.
85,470,570,2,1ded25cc03ee9dc514ae6e0d47afaabe1488e24cbaa4e1823b37ba75fb2851d0,A computer sits on a desk by a printer.
86,471,386,1,141e2088131b0c639e298677ffb9d9187e0839dc4e0fe3eca21c8a47b955d403,a couple of stuffed bears are on a bed
87,472,663,2,224932a7b42ec2cdd6dd5671d50e075a6d0cbef747fe0e462c4bc73139cb3ddd,A person's hand holding up an active smartphone.
88,475,600,2,1f6c16f88d566bec69d791e2097800b32068ffb0c6b89c97729b4a39ef3531a9,A man in a green shirt is taking a picture with his cell phone.
89,482,555,2,1d64a6a43d48e394eeaabe2a43c9ca52339c08aef2b1b9f894f0d34fe421c855,Man sleeping in his bedroom next to a cat.
90,489,729,2,263287be60e5a1a23dc26dcd97b0a4ab897a0792670d9193996c25c0729cd438,A bathroom is very colorful with blue yellow and red.
91,490,474,1,198bf49900a61add051855b1ccfec6294c91c368bf1216feeb7a22b6155c5536,A red bicycle leaned against a red stucco building with a graffiti covered door.
92,491,36,0,020d8b3847d2ae6f99e931a98b539297cf7345eb84b83ae0b3ccd456f7c202d2,this floor has a pattern of black and white tiles the sink is the same pattern
93,499,282,1,0e4948b2c7423954836fac17fab0c8a01403f36a328e1aceabb3f58aef164d97,This is two birds pecking at the remnants of a burger at an outdoor restaurant.
94,505,895,3,2d8b43fe764ce9a2ebf1fd2bc352a4724383b01bf23cf5be2c5cfe9609419f21,"An urban street with a streetlight, one way sign, and people walking."
95,506,727,2,260b26c850aff6aecc2d881e889e5d847b39ea3c690e678d4cccc1e416073fcf,A group of people walking down a sidewalk.
96,509,334,1,11b9541a80a4f46bcc781aa45e5e654658bdd20f576e3fa65ffdb34e31dfd020,The rain is pouring on the white car on the street.
97,519,118,0,063b248b039ed8577ed1aa4f348260591c6b0bcdb1615b679661aa1d45d074b4,Two parking meter with the sunshine in the background.
98,521,593,2,1f0d259b45c8138cbd4d46d75da3091a5ff916953567f6da56662bb022ba60b2,Two large trucks are travelling along a tree-lined roadway.
99,526,265,1,0dc2214f73b990faa64faa00d2c88a63656866d31d42d5be777934ab9bf34131,Garbage and police trucks on a city street
100,536,438,1,172f42ce507a117737ebec99f5337ce13c5b8ef510104e685cddb08dd7b5f648,A man in a neon green shirt and black pants holding a pink umbrella.
101,540,690,2,23c0caa5d859abc2e6525762f1bb807e4e8094ebfd67bfe741f4c872a3dcbdd7,An airport and plane unloading passengers with luggage.
102,546,882,3,2cdd1af92063fc0587c81b542c344891f06ac94debc25691cc00f424095a5e24,The two brown bears are playing in water.
103,558,363,1,132a1ebb6393641525641f00f6a33eab270e853f9fc14ed9bf418251b07602f1,An old man making duck lips while holding an orange.
104,560,95,0,0520f436a32c33a595bb7db3e4967dac4bfb88a4c408a33c30aafb7e46521c49,A person in a black snow suit on a pair of skis in the snow.
105,562,531,2,1bffc970e711a6cd097d0722d7834162f1c32094c4a985f3b62b493359b729c6,A bowl with broccoli and carrot soup on a table.
106,566,795,3,2922de86fc4eec91f16838f214d8c0c6c49d398df1faf8a7c60d81491acfbd82,Three people cross country skiing in a field.
107,568,260,1,0d4e9a94953d5b95a40670d9d3dd6d26859d480f7a11da903a899af56bc7f05c,a person riding skis on a rail
108,570,129,0,071bc20c693ed70ffa863458abee9267f186b83a86ffc3396667356016194f03,Traditional American comfort food arranged on a plate
109,573,159,0,085a31f54c59f319952053b4c8ac039425eb3fadfb864899a441f4488bef0b1d,A bridge and groom cutting their wedding cake that has fruit on top.
110,575,238,0,0c08f1a4158aec819a5d1e3c008215bd67293c8600e56419f4c4c56482252abf,Several people on surfboards who are riding a wave.
111,581,76,0,0463a639d29e9608bc8a17fca07d1e08ca1a0ba11bff33d0de699f993558b458,"A plate of half eaten pizza, and salad."
112,602,318,1,10b86e8be2b802f0771e1edc287d78fd351db87ad90d886fc2c9e3014a5aa065,People are flying kites in the park and walking.
113,603,598,2,1f43f513a931f8188a67354ffa0b9db23bd26571915fa15803458bbf75cfbcb9,People flying a kite on a sandy beach near a body of water.
114,606,171,0,08fd08cf2ddcaac1356244b1aadcb13ec929af2224e007e0a943d362c2ff3fa6,a baseball player on a base ball field holding a bat
115,608,700,2,24960b4f3c57ca6e2addbf02092c33e068a0e29d9058c8db08c57fc5192dc2c4,pizza on a serving tray with empty plates next to it
116,616,894,3,2d7495e606005d05a98ac83f9f374091ecef8c7072a4617b4037d88c6ab40ce5,A plate on a wooden table topped with lots of food.
117,617,177,0,094212668931d4b527f84e44853c32194ce0cc81848664fa1d45771c030fb982,a tray of food on a wooden table
118,623,431,1,16aa21476da767ab59aea4a6e6bfec64f9564d4c41f08ac602a46b29c48e2855,A calico cat drinking from a sink faucet.
119,624,844,3,2b2378cf73f2e4ce479a05858f3ef30dcba663bc22ff01de1d81a430d935c1a5,Modern bathroom with two sinks a toilet and a shower
120,628,934,3,2f8b14391951fb172f5fd5aeeb54257f58110f7757dc3c427c80f04ace3e597c,Girl holding onto Dad on the back of a motorcycle in traffic.
121,631,733,2,2645c8016920ecf17cf53c6247dfebcd2449b93bacec548cd44048648b1ba727,A jet airplane coming in to land in a cloudy blue sky
122,637,61,0,034c85e086d7883acd6ce68e8c6a7c3aea1ac063418410eca3edfaf6e13c4aa2,people getting on a public bus at night
123,641,446,1,17acfc345a01de119be72063ed238c937ffc219d1da61f4f9625e3c0f110bcbd,A fire hydrant is decorated with an American flag design.
124,648,283,1,0e4f44c95731436655d76f752bb88e1a1c50c61b570b209abdbe8de7ac9437a3,"Train with lights on, multiple track area, near over/under pass."
125,660,835,3,2ad2b9837206ad567fab983bbaa11fb97dccaa93cc476d5bebecaecdaa8fe5f1,A photo of a young male in a suit jacket and tie.
126,671,241,0,0c376b2668482a88b3e68211e96e3bcfa431b15abc3c570f389b88db64396681,A person taking a picture with a cell phone of them and a dog in a mirror.
127,672,385,1,1414599dcf743a8d9ee82c67fb3ad93135e81b050cfd35dccb8c918e3327503c,Two friends throwing a frisbee on a sandy lot.
128,683,879,3,2ccb847ab9e4e8bc4cf8bd23214bdaab5fd395f59b3aeb453e97916d84b8c91b,A batter standing a home plate in a baseball field.
129,685,816,3,2a300c67a8b872b3fad03ed1ac0bd2c2b6873c82e116d5025f8020231de008c4,Three images of a pie and a cup of tea or coffee.
130,689,836,3,2ad82dc625733386130aacbd04f64dfe9dfb1c42c4bac50773cb05b2b83a0ff7,A man is doing skateboard tricks on a ramp
131,703,358,1,12ebe840a35d42cd884fb3c3d954888437386bb17f8d3d7155eeacebeb067e3d,A group of people standing on a  beach riding surfboards.
132,704,323,1,111aae04a72a1c2f18a9f00d28c506164f381f053b64b6b605b44ae6862ee727,A man surfing the waves on a surfboard in the ocean.
133,706,202,0,0a2ab7d94a66ebc21b1dd2025fba58efc4dc40f726b0dc103562e99913d1d24a,a male tennis player in white shorts is playing tennis
134,718,662,2,221f0f0596886c66245d59d8f9403a71fe482872afbb341a9f5f73f03083f1f3,A woman holding a racquet on top of a tennis court.
135,727,421,1,15ff892eb8ed05590cfa1b585a5e50b8dcd5c7f00d9850a0b1f33af343a948cb,A yellow not book sitting on top of a desk next to a laptop.
136,728,486,1,1a3c177584a82b2528a2a91cd4e049d057c5451772e008c12783243de3c36f70,This computer set up has two monitors and an ergonomic keyboard.
137,736,682,2,233f1e8f3f16a431164b999a0aee0e198806db6fe6d4a8d4d48187287555a582,A clock tower on top of a tall historic building.
138,739,174,0,0929b7e916f5648009955e568b9dd84789b142a13e136b1114c3d7f98c6267d6,A building with a very pointy roof and a clock.
139,740,455,1,18720ad2c77a1d9c84ee81a3ebecf1251ac9328f97e6532cfd0da48cb6338fde,A couple celebrating a birthday in a kitchen.
140,741,325,1,1138c17e978f9374dbe45292200f2385effe91e9582098f87fc48ab254d4ea87,Vehicles riding in front of building with a huge clock on it.
141,745,365,1,1362bd964f68bd1e3163b1b180c8f5f9af7f988ecd9bf9ccbdd017c2c6b7a45b,The young man is holding a clear Frisbee.
142,746,25,0,01a63f8a193ae287e561413cb52f716b904b285b9d7dc365301fad2563d4074f,a bright kitchen with tulips on the table and plants by the window
143,751,759,3,27de5658c28926618c154c093796f358be02a3adc7baa38161c5faaaabbf4c55,a garbage bag in a white lighted bathroom
144,752,647,2,216aa571f3ed7ee5680311a16a7e376bedd542a7d3703989ea2d331ab5bc9ae0,"A bathroom has yellow walls, brown floors, and a closet in it."
145,756,562,2,1d96a50f4757d3ced27d414dfeb81d3bf953dcc376ac0f6ad786d871281b173d,A small black and brown dog sitting next to a motorcycle.
146,761,992,3,33065badcc6382da7db1e14d3a27076afb33b450f0a8230abd9b5ecded2c35d5,A man riding a motorcycle through the rain.
147,763,128,0,071af54bbd79e0803ad6aa31e2977f0f65b71a8ea2f7beb095cf1dbf86d9ed39,A small wheeled airplane on an open runway.
148,765,935,3,2f963da6482432ebeb9bdaf2da1388ca4be3e2eb59064e0ea718f003a7b10bf9,The landing airplane comes in very close to the vehicle in the road.
149,766,960,3,31478d9ff390acf9ac3d38f369ad0630518f0ff26fd5941d20105a26587b0d6a,The giraffe is standing in the shade of the tree.
150,770,767,3,281e3f082de7453a74c2528e47980412a1e2270b9b22322e24aae30bd4118971,a number of dogs running in a field with people on a bench
151,773,569,2,1dec6b5cae30e4a0f3b712c83c81aee80a4a147cb8804a9df529449740618e39,A double traffic signal shows three green lights.
152,782,456,1,18721a96b2275117e4901933a8e8aa66e068c6b20e7d6be2d1f6de64d4801ac6,Giraffes leaning down to drink at a watering hole
153,794,33,0,01ee780ea81ce9b2c2bed6df26bbb582fb5007cc935d153ef48d810894ffb95d,A red and black train on the train tracks.
154,795,676,2,23067062ada735fb504e67c022441512827d5036bdf970cdb23ce9a5ed68320f,A silver and gray parking meter sitting by a tree.
155,800,809,3,29c4c5b337eab2137bab22f0f0c003a4380f7e52c2c6fc0a6edeee64f3197e3c,A dog that is wearing a dog collar smiling
156,805,951,3,30e637a1116aefa6ee163069d4cdbee8ed45d22c455d554b7b7fba39c5eac132,A dog catching a purple Frisbee in it's mouth on a green grass covered field.
157,811,464,1,18f0a2167c3f887fe4c8d37edbf3a2f62001947581c7c8cb93d176428974b568,A man holding horse reins connected to 2 horses on a dirt field.
158,820,21,0,0127025a9bb874b3887047ef93eed42da5ba2ce69ec873c5a4961969a9a26776,Several people are skiing on a snow covered field.
159,821,437,1,171ba6625cf4d18c3d4eabfc509bf933dc71a89f76b82f92c511f7a714195287,The man is skiing down the snowy slopes.
160,823,848,3,2b583079af5aaf1eae586b69108107f9489615c9ce639671a1ce5322741f8243,A boy on a skateboard at the skate park.
161,824,610,2,1fc304d8174c6a196723c5f1e8f46bd041a99674973be0c5a31448b36035b75e,A man who is putting a hot dog in his mouth.
162,826,314,1,1087816dc011366e8a692a96572724d55388cb580a338fab3439ab857c7eaf70,A boy smiling and eating some food on a plate.
163,828,140,0,077b6c777f15e492b1995dd66f2d8868a4ceb3bcd1dfd8827233e04328c02158,"A patty, with frosting on it, in the middle."
164,833,66,0,03a139d5baefa4ba47c9cbd30078c640fc6be176d73e1a53b5b33c921c0da65c,A spacious living room with three windows and a wooden floor.
165,837,577,2,1e3eb92432848b18a688ba46fdd9e853269dd72796cc9c5e15e39e71b391c285,A hotel suite with balcony overlooking the scenery
166,841,27,0,01abe92ab666bfa9e0240c6a799abc235ea06d920dc12504970cf5be06c6ba62,Many people standing in a field flying kites.
167,843,429,1,1665877e25fdf2035f67a91ad954f82509715b64ddb28c670c1dead40256f8e3,A kitchen with a teapot on the stove and books on a shelf.
168,845,613,2,1fd716cb1ed9c42d0d1a1116d67f02971a69a88416ae03e60b7670ca26e2e86b,A young child holding onto a kite while standing on a green grass covered field.
169,850,675,2,23050ccc6de2f8b6072adc90ff316e67e05274a5a62aeef7dff272b9764db0e7,A wooden table with a purple laptop and orange pen.
170,852,120,0,06530110a1f0c3db7de7ea4264c37fd37d285e6fd4226920a6a21d6aa9e3384d,A woman taking a selfie with a mobile phone.
171,856,718,2,256e9dd9d72715a71af16aec7ed7a8471fbe5698bc322fc69c27a1fb47bdc00f,Two cell phones are sitting next to each other on a table.
172,858,827,3,2aa71d2e49c4f2f3b4abaea522158f12662309470011327643eae06eafe2709b,All of these men are using their cell phones.
173,861,341,1,11e15a5ff88dd0eb1ab80aed176e7b1f8bee31a6b385202ee9fc6c91ba4d806c,a clock on a building with  sky background
174,865,103,0,056ffd882767aecbbe641d67cb6b140f95aaeb3a2a8da24abdd18131fcd48736,Young men having a meal at a table.
175,872,807,3,298035dedbb80b6fa4ff9fce66ba9e339c9fceba56dfffd46f4d7ef2fb09d6bd,a black bike rests against a brown bed
176,875,775,3,288ab2fca91ad48d4a3361fe4d40e022eb3f58e757a7a3ec06f41ab9969736c2,A unique car sitting beside an airplane.
177,876,366,1,139e354f7691d4e89cd89f9a9f67b6e8f3af1097201b9de7d8a59c302e45da3c,A picture of old urinals all lined up.
178,887,975,3,323d158da2d9b5a2353dac480ba78a6ddc44a792e0434ddde8e7520bc7715f2b,A World Cargo 747 airline is taxiing down a runway.
179,888,868,3,2c4656f36a348d428c2ac9047af90acaf8c157eeb64bd2ad21be085cbed81012,The large jumbo jet has it's landing gear lowered.
180,898,909,3,2e4e098c589f93516c49d12c0e1ea7cc94e783997be3180ac11594c8405163a8,A man opening a fire hydrant on a city side walk.
181,900,926,3,2f0b40316c5440af9038b31c0c21dc432ae6bdccbff91f065a455e35d651866d,A grey and orange fire hydrant next to a street.
182,902,582,2,1e5535363e6afcb4c0de1cbb06c8813782df71adf4ebe6aa66f9e127bd7d895c,A giant elephant is next to the Aurora rents sign.
183,912,338,1,11cf3ba78a93481792b61076c7a0fff9a9995f3ddfd22e2273bf9f2ca70d17e1,An elephant is being fed while in a truck.
184,928,255,1,0d069630d41387be7d0d19b618da1a22687d0c79393d940a212cee0ed9890ca6,Four zebras stand together in a grassy plain.
185,937,768,3,2823fa21cfeb7b5eb0c25f453f5fcf87d3d4766010c44fb5c0c1dd89d11c4bac,"a pancake topped with rice, spinach, and brocolli"
186,940,730,2,263b88a9f7a5dfda58fbcb50bfba1ab63a83973a557627aba96d0b6e212540f9,a boy riding a skateboard on the edge of a wall
187,949,885,3,2cf3fba2ec7106deeaad4da695d10ed56216513283c7913b9d807c24656d6b98,a bunch of heart shaped cakes are on display
188,962,592,2,1efceb6d612f34fc86755bc135a733d35dd761889f977a4fa35601829aa5f4e4,This video game has a Wii device and instructions.
189,963,39,0,0221645d64ff9e8662876bee3ea3263f2cea9f859ed6dc9aa447c418c1d2210b,some red chairs are sitting around a small table
190,970,818,3,2a48dd6f9e43f24c42fbdeec6f2de2c9e673ea5d89c398276c98c71ae4b2da07,A boy is hitting a tennis ball on a tennis court.
191,972,182,0,095e9297081c495a7f4713af9decf129ae7f8c56a52dcc99461fa26f3d9ac1b4,Two little girls in the kitchen making  cheese pizzas.
192,975,892,3,2d63c962039bbfc5e3fba41a5dfe568d3ae63e9013a2f7ef184b03d2bb5f237e,Man looking over paperwork while holding pen on desk.
193,976,395,1,149142c9466b92cfb385688386f026abf2f2afa210a427365e769b308b32ff84,A filtered image of a microwave available to use in a store.
194,992,470,1,196cb4019d86faa9c3994f37d21dc137a76228ea084f012f2545cd3c8c3acfe1,A cat in a bathroom with a tub and a toilet.
195,1002,49,0,029b9af7b6d5dc6c215222439581d0c49325a66556ad5ce3bf6c77d7c1569ea0,Some very pretty horses with riders in the grass.
196,1004,351,1,126056720bf9503728a0826990e18b8621361b4ff5b914df1af09f05ff82e663,A purple and white bus driving down a street.
197,1014,142,0,0787a3a9c3c1cb478baae14c3988949412fc860b44e4ed91becae5d3e2c8472c,City buses on a city street in the dawn hours.
198,1024,277,1,0e1d117788df69d87640b2574d3ccba7537be0fe2c239a2315b71b68f9c83291,Sheep are standing in the snow behind a wire fence.
